,country,MP,W,D,L,GF,GA,GD,WP,TP,PPG
Gibraltar,Gibraltar,0,0,0,0,0,0,0,,0.0,
Gotland,Gotland,0,0,0,0,0,0,0,,0.0,
Gozo,Gozo,0,0,0,0,0,0,0,,0.0,
Greece,Greece,1,0,1,0,1,1,0,0.0,1.0,1.0
Greenland,Greenland,0,0,0,0,0,0,0,,0.0,
Grenada,Grenada,0,0,0,0,0,0,0,,0.0,
Guadeloupe,Guadeloupe,0,0,0,0,0,0,0,,0.0,
Guam,Guam,0,0,0,0,0,0,0,,0.0,
Guatemala,Guatemala,7,1,1,5,10,21,-11,14.285714285714285,4.0,0.5714285714285714
Guernsey,Guernsey,0,0,0,0,0,0,0,,0.0,
Guinea,Guinea,0,0,0,0,0,0,0,,0.0,
Guinea-Bissau,Guinea-Bissau,0,0,0,0,0,0,0,,0.0,
Guyana,Guyana,6,2,3,1,5,5,0,33.33333333333333,9.0,1.5
Găgăuzia,Găgăuzia,0,0,0,0,0,0,0,,0.0,
Haiti,Haiti,8,1,2,5,6,17,-11,12.5,5.0,0.625
Hitra,Hitra,0,0,0,0,0,0,0,,0.0,
Honduras,Honduras,3,1,1,1,1,5,-4,33.33333333333333,4.0,1.3333333333333333
Hong Kong,Hong Kong,0,0,0,0,0,0,0,,0.0,
Hungary,Hungary,62,27,14,21,140,113,27,43.54838709677419,95.0,1.532258064516129
Iceland,Iceland,0,0,0,0,0,0,0,,0.0,
India,India,0,0,0,0,0,0,0,,0.0,
Indonesia,Indonesia,0,0,0,0,0,0,0,,0.0,
Iran,Iran,0,0,0,0,0,0,0,,0.0,
Iraq,Iraq,0,0,0,0,0,0,0,,0.0,
Iraqi Kurdistan,Iraqi Kurdistan,0,0,0,0,0,0,0,,0.0,
Isle of Man,Isle of Man,0,0,0,0,0,0,0,,0.0,
Isle of Wight,Isle of Wight,0,0,0,0,0,0,0,,0.0,
Israel,Israel,0,0,0,0,0,0,0,,0.0,
Italy,Italy,50,21,17,12,107,92,15,42.0,80.0,1.6
Ivory Coast,Ivory Coast,0,0,0,0,0,0,0,,0.0,
Jamaica,Jamaica,5,5,0,0,14,1,13,100.0,15.0,3.0
Japan,Japan,5,1,0,4,4,16,-12,20.0,3.0,0.6
Jersey,Jersey,0,0,0,0,0,0,0,,0.0,
Jordan,Jordan,0,0,0,0,0,0,0,,0.0,
Kabylia,Kabylia,0,0,0,0,0,0,0,,0.0,
Kazakhstan,Kazakhstan,0,0,0,0,0,0,0,,0.0,
Kenya,Kenya,4,1,1,2,6,11,-5,25.0,4.0,1.0
Kernow,Kernow,0,0,0,0,0,0,0,,0.0,
Kiribati,Kiribati,0,0,0,0,0,0,0,,0.0,
Kosovo,Kosovo,0,0,0,0,0,0,0,,0.0,
Kuwait,Kuwait,0,0,0,0,0,0,0,,0.0,
Kyrgyzstan,Kyrgyzstan,0,0,0,0,0,0,0,,0.0,
Kárpátalja,Kárpátalja,0,0,0,0,0,0,0,,0.0,
Laos,Laos,0,0,0,0,0,0,0,,0.0,
Latvia,Latvia,28,9,7,12,45,72,-27,32.142857142857146,34.0,1.2142857142857142
Lebanon,Lebanon,0,0,0,0,0,0,0,,0.0,
Lesotho,Lesotho,0,0,0,0,0,0,0,,0.0,
Liberia,Liberia,0,0,0,0,0,0,0,,0.0,
Libya,Libya,0,0,0,0,0,0,0,,0.0,
Liechtenstein,Liechtenstein,0,0,0,0,0,0,0,,0.0,
Lithuania,Lithuania,14,1,2,11,14,54,-40,7.142857142857142,5.0,0.35714285714285715
Luxembourg,Luxembourg,6,0,3,3,6,13,-7,0.0,3.0,0.5
Macau,Macau,0,0,0,0,0,0,0,,0.0,
Madagascar,Madagascar,0,0,0,0,0,0,0,,0.0,
Madrid,Madrid,0,0,0,0,0,0,0,,0.0,
Malawi,Malawi,0,0,0,0,0,0,0,,0.0,
Malaysia,Malaysia,0,0,0,0,0,0,0,,0.0,
Maldives,Maldives,0,0,0,0,0,0,0,,0.0,
Mali,Mali,0,0,0,0,0,0,0,,0.0,
Malta,Malta,0,0,0,0,0,0,0,,0.0,
Manchukuo,Manchukuo,0,0,0,0,0,0,0,,0.0,
Martinique,Martinique,0,0,0,0,0,0,0,,0.0,
Matabeleland,Matabeleland,0,0,0,0,0,0,0,,0.0,
Mauritania,Mauritania,0,0,0,0,0,0,0,,0.0,
Mauritius,Mauritius,0,0,0,0,0,0,0,,0.0,
Mayotte,Mayotte,0,0,0,0,0,0,0,,0.0,
Menorca,Menorca,0,0,0,0,0,0,0,,0.0,
Mexico,Mexico,6,4,1,1,15,10,5,66.66666666666666,13.0,2.1666666666666665
Micronesia,Micronesia,0,0,0,0,0,0,0,,0.0,
Moldova,Moldova,0,0,0,0,0,0,0,,0.0,
Monaco,Monaco,0,0,0,0,0,0,0,,0.0,
Mongolia,Mongolia,0,0,0,0,0,0,0,,0.0,
Montenegro,Montenegro,0,0,0,0,0,0,0,,0.0,
Montserrat,Montserrat,0,0,0,0,0,0,0,,0.0,
Morocco,Morocco,0,0,0,0,0,0,0,,0.0,
Mozambique,Mozambique,0,0,0,0,0,0,0,,0.0,
Myanmar,Myanmar,0,0,0,0,0,0,0,,0.0,
Namibia,Namibia,0,0,0,0,0,0,0,,0.0,
Nepal,Nepal,0,0,0,0,0,0,0,,0.0,
Netherlands,Netherlands,48,15,14,19,84,87,-3,31.25,59.0,1.2291666666666667
New Caledonia,New Caledonia,0,0,0,0,0,0,0,,0.0,
New Zealand,New Zealand,10,5,2,3,20,16,4,50.0,17.0,1.7
Nicaragua,Nicaragua,1,0,0,1,0,9,-9,0.0,0.0,0.0
Niger,Niger,0,0,0,0,0,0,0,,0.0,
Nigeria,Nigeria,0,0,0,0,0,0,0,,0.0,
Niue,Niue,0,0,0,0,0,0,0,,0.0,
North Korea,North Korea,0,0,0,0,0,0,0,,0.0,
North Macedonia,North Macedonia,0,0,0,0,0,0,0,,0.0,
North Vietnam,North Vietnam,0,0,0,0,0,0,0,,0.0,
Northern Cyprus,Northern Cyprus,0,0,0,0,0,0,0,,0.0,
Northern Ireland,Northern Ireland,32,5,7,20,31,62,-31,15.625,22.0,0.6875
Northern Mariana Islands,Northern Mariana Islands,0,0,0,0,0,0,0,,0.0,
Norway,Norway,45,17,7,21,97,103,-6,37.77777777777778,58.0,1.288888888888889
Occitania,Occitania,0,0,0,0,0,0,0,,0.0,
Oman,Oman,0,0,0,0,0,0,0,,0.0,
Orkney,Orkney,0,0,0,0,0,0,0,,0.0,
Padania,Padania,0,0,0,0,0,0,0,,0.0,
Pakistan,Pakistan,0,0,0,0,0,0,0,,0.0,
Palau,Palau,0,0,0,0,0,0,0,,0.0,
Palestine,Palestine,0,0,0,0,0,0,0,,0.0,
Panama,Panama,0,0,0,0,0,0,0,,0.0,
Panjab,Panjab,0,0,0,0,0,0,0,,0.0,
Papua New Guinea,Papua New Guinea,0,0,0,0,0,0,0,,0.0,
Paraguay,Paraguay,45,15,7,23,60,86,-26,33.33333333333333,52.0,1.1555555555555554
Parishes of Jersey,Parishes of Jersey,0,0,0,0,0,0,0,,0.0,
Peru,Peru,6,1,0,5,5,23,-18,16.666666666666664,3.0,0.5
Philippines,Philippines,5,1,0,4,6,13,-7,20.0,3.0,0.6
Poland,Poland,28,10,6,12,56,60,-4,35.714285714285715,36.0,1.2857142857142858
Portugal,Portugal,15,3,4,8,21,35,-14,20.0,13.0,0.8666666666666667
Provence,Provence,2,0,0,2,0,5,-5,0.0,0.0,0.0
Puerto Rico,Puerto Rico,0,0,0,0,0,0,0,,0.0,
Qatar,Qatar,0,0,0,0,0,0,0,,0.0,
Raetia,Raetia,0,0,0,0,0,0,0,,0.0,
Republic of Ireland,Republic of Ireland,3,2,0,1,8,5,3,66.66666666666666,6.0,2.0
Republic of St. Pauli,Republic of St. Pauli,0,0,0,0,0,0,0,,0.0,
Rhodes,Rhodes,0,0,0,0,0,0,0,,0.0,
Romani people,Romani people,0,0,0,0,0,0,0,,0.0,
Romania,Romania,21,9,4,8,44,46,-2,42.857142857142854,31.0,1.4761904761904763
Russia,Russia,3,3,0,0,9,3,6,100.0,9.0,3.0
Rwanda,Rwanda,0,0,0,0,0,0,0,,0.0,
Réunion,Réunion,0,0,0,0,0,0,0,,0.0,
Saare County,Saare County,0,0,0,0,0,0,0,,0.0,
Saarland,Saarland,0,0,0,0,0,0,0,,0.0,
Saint Helena,Saint Helena,0,0,0,0,0,0,0,,0.0,
Saint Kitts and Nevis,Saint Kitts and Nevis,0,0,0,0,0,0,0,,0.0,
Saint Lucia,Saint Lucia,0,0,0,0,0,0,0,,0.0,
Saint Martin,Saint Martin,0,0,0,0,0,0,0,,0.0,
Saint Pierre and Miquelon,Saint Pierre and Miquelon,0,0,0,0,0,0,0,,0.0,
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,0,0,0,0,0,0,0,,0.0,
Samoa,Samoa,0,0,0,0,0,0,0,,0.0,
San Marino,San Marino,0,0,0,0,0,0,0,,0.0,
Sark,Sark,0,0,0,0,0,0,0,,0.0,
Saudi Arabia,Saudi Arabia,0,0,0,0,0,0,0,,0.0,
Scotland,Scotland,35,25,5,5,83,33,50,71.42857142857143,80.0,2.2857142857142856
Senegal,Senegal,0,0,0,0,0,0,0,,0.0,
Serbia,Serbia,0,0,0,0,0,0,0,,0.0,
Seychelles,Seychelles,0,0,0,0,0,0,0,,0.0,
Shetland,Shetland,0,0,0,0,0,0,0,,0.0,
Sierra Leone,Sierra Leone,0,0,0,0,0,0,0,,0.0,
Silesia,Silesia,0,0,0,0,0,0,0,,0.0,
Singapore,Singapore,0,0,0,0,0,0,0,,0.0,
Sint Maarten,Sint Maarten,0,0,0,0,0,0,0,,0.0,
Slovakia,Slovakia,0,0,0,0,0,0,0,,0.0,
Slovenia,Slovenia,0,0,0,0,0,0,0,,0.0,
Solomon Islands,Solomon Islands,0,0,0,0,0,0,0,,0.0,
Somalia,Somalia,0,0,0,0,0,0,0,,0.0,
Somaliland,Somaliland,0,0,0,0,0,0,0,,0.0,
South Africa,South Africa,2,1,0,1,3,3,0,50.0,3.0,1.5
South Korea,South Korea,0,0,0,0,0,0,0,,0.0,
South Ossetia,South Ossetia,0,0,0,0,0,0,0,,0.0,
South Sudan,South Sudan,0,0,0,0,0,0,0,,0.0,
Spain,Spain,22,17,3,2,59,16,43,77.27272727272727,54.0,2.4545454545454546
Sri Lanka,Sri Lanka,0,0,0,0,0,0,0,,0.0,
Sudan,Sudan,0,0,0,0,0,0,0,,0.0,
Suriname,Suriname,0,0,0,0,0,0,0,,0.0,
Sweden,Sweden,83,41,14,28,227,145,82,49.39759036144578,137.0,1.6506024096385543
Switzerland,Switzerland,55,14,11,30,88,140,-52,25.454545454545453,53.0,0.9636363636363636
Syria,Syria,0,0,0,0,0,0,0,,0.0,
Székely Land,Székely Land,0,0,0,0,0,0,0,,0.0,
Sápmi,Sápmi,0,0,0,0,0,0,0,,0.0,
São Tomé and Príncipe,São Tomé and Príncipe,0,0,0,0,0,0,0,,0.0,
Tahiti,Tahiti,0,0,0,0,0,0,0,,0.0,
Tajikistan,Tajikistan,0,0,0,0,0,0,0,,0.0,
Tamil Eelam,Tamil Eelam,0,0,0,0,0,0,0,,0.0,
Tanzania,Tanzania,0,0,0,0,0,0,0,,0.0,
Thailand,Thailand,0,0,0,0,0,0,0,,0.0,
Tibet,Tibet,0,0,0,0,0,0,0,,0.0,
Timor-Leste,Timor-Leste,0,0,0,0,0,0,0,,0.0,
Togo,Togo,0,0,0,0,0,0,0,,0.0,
Tonga,Tonga,0,0,0,0,0,0,0,,0.0,
Trinidad and Tobago,Trinidad and Tobago,9,1,3,5,6,12,-6,11.11111111111111,6.0,0.6666666666666666
Tunisia,Tunisia,0,0,0,0,0,0,0,,0.0,
Turkey,Turkey,16,6,2,8,30,36,-6,37.5,20.0,1.25
Turkmenistan,Turkmenistan,0,0,0,0,0,0,0,,0.0,
Turks and Caicos Islands,Turks and Caicos Islands,0,0,0,0,0,0,0,,0.0,
Tuvalu,Tuvalu,0,0,0,0,0,0,0,,0.0,
U.S. Virgin Islands,U.S. Virgin Islands,0,0,0,0,0,0,0,,0.0,
Uganda,Uganda,4,2,1,1,11,6,5,50.0,7.0,1.75
Ukraine,Ukraine,1,1,0,0,6,2,4,100.0,3.0,3.0
United Arab Emirates,United Arab Emirates,0,0,0,0,0,0,0,,0.0,
United Koreans in Japan,United Koreans in Japan,0,0,0,0,0,0,0,,0.0,
United States,United States,5,3,1,1,18,9,9,60.0,10.0,2.0
Uruguay,Uruguay,57,27,13,17,98,56,42,47.368421052631575,94.0,1.6491228070175439
Uzbekistan,Uzbekistan,0,0,0,0,0,0,0,,0.0,
Vanuatu,Vanuatu,0,0,0,0,0,0,0,,0.0,
Vatican City,Vatican City,0,0,0,0,0,0,0,,0.0,
Venezuela,Venezuela,0,0,0,0,0,0,0,,0.0,
Vietnam,Vietnam,0,0,0,0,0,0,0,,0.0,
Vietnam Republic,Vietnam Republic,0,0,0,0,0,0,0,,0.0,
Wales,Wales,31,9,9,13,41,60,-19,29.03225806451613,36.0,1.1612903225806452
Wallis Islands and Futuna,Wallis Islands and Futuna,0,0,0,0,0,0,0,,0.0,
Western Armenia,Western Armenia,0,0,0,0,0,0,0,,0.0,
Western Isles,Western Isles,0,0,0,0,0,0,0,,0.0,
Western Sahara,Western Sahara,0,0,0,0,0,0,0,,0.0,
Yemen,Yemen,0,0,0,0,0,0,0,,0.0,
Yemen DPR,Yemen DPR,0,0,0,0,0,0,0,,0.0,
Ynys Môn,Ynys Môn,0,0,0,0,0,0,0,,0.0,
Yorkshire,Yorkshire,0,0,0,0,0,0,0,,0.0,
Yugoslavia,Yugoslavia,28,10,2,16,52,81,-29,35.714285714285715,32.0,1.1428571428571428
Zambia,Zambia,0,0,0,0,0,0,0,,0.0,
Zanzibar,Zanzibar,0,0,0,0,0,0,0,,0.0,
Zimbabwe,Zimbabwe,0,0,0,0,0,0,0,,0.0,
Åland Islands,Åland Islands,0,0,0,0,0,0,0,,0.0,
Asturias,Asturias,1,1,0,0,3,1,2,100.0,3.0,3.0
Congo DR,Congo DR,0,0,0,0,0,0,0,,0.0,
Surrey,Surrey,0,0,0,0,0,0,0,,0.0,
Two Sicilies,Two Sicilies,0,0,0,0,0,0,0,,0.0,
Western Australia,Western Australia,0,0,0,0,0,0,0,,0.0,
