,country,MP,W,D,L,GF,GA,GD,WP,TP,PPG
Congo,Congo,54,20,10,24,73,70,3,37.03703703703704,70.0,1.2962962962962963
Cook Islands,Cook Islands,0,0,0,0,0,0,0,,0.0,
Corsica,Corsica,0,0,0,0,0,0,0,,0.0,
Costa Rica,Costa Rica,51,20,19,12,60,43,17,39.21568627450981,79.0,1.5490196078431373
County of Nice,County of Nice,0,0,0,0,0,0,0,,0.0,
Crimea,Crimea,0,0,0,0,0,0,0,,0.0,
Croatia,Croatia,0,0,0,0,0,0,0,,0.0,
Cuba,Cuba,33,7,13,13,26,40,-14,21.21212121212121,34.0,1.0303030303030303
Curaçao,Curaçao,23,8,9,6,25,24,1,34.78260869565217,33.0,1.434782608695652
Cyprus,Cyprus,51,1,10,40,26,123,-97,1.9607843137254901,13.0,0.2549019607843137
Czech Republic,Czech Republic,0,0,0,0,0,0,0,,0.0,
Czechoslovakia,Czechoslovakia,94,40,29,25,133,90,43,42.5531914893617,149.0,1.5851063829787233
DR Congo,DR Congo,56,19,21,16,72,67,5,33.92857142857143,78.0,1.3928571428571428
Darfur,Darfur,0,0,0,0,0,0,0,,0.0,
Denmark,Denmark,100,48,18,34,155,108,47,48.0,162.0,1.62
Djibouti,Djibouti,9,1,1,7,10,28,-18,11.11111111111111,4.0,0.4444444444444444
Dominica,Dominica,17,1,6,10,8,24,-16,5.88235294117647,9.0,0.5294117647058824
Dominican Republic,Dominican Republic,5,0,1,4,3,8,-5,0.0,1.0,0.2
East Timor,East Timor,0,0,0,0,0,0,0,,0.0,
Ecuador,Ecuador,58,11,20,27,52,87,-35,18.96551724137931,53.0,0.9137931034482759
Egypt,Egypt,103,43,33,27,107,82,25,41.74757281553398,162.0,1.5728155339805825
El Salvador,El Salvador,68,23,19,26,70,81,-11,33.82352941176471,88.0,1.2941176470588236
Ellan Vannin,Ellan Vannin,0,0,0,0,0,0,0,,0.0,
England,England,116,59,33,24,187,74,113,50.86206896551724,210.0,1.8103448275862069
Equatorial Guinea,Equatorial Guinea,15,0,7,8,5,24,-19,0.0,7.0,0.4666666666666667
Eritrea,Eritrea,0,0,0,0,0,0,0,,0.0,
Estonia,Estonia,0,0,0,0,0,0,0,,0.0,
Eswatini,Eswatini,11,1,4,6,8,23,-15,9.090909090909092,7.0,0.6363636363636364
Ethiopia,Ethiopia,61,21,20,20,75,70,5,34.42622950819672,83.0,1.360655737704918
Falkland Islands,Falkland Islands,0,0,0,0,0,0,0,,0.0,
Faroe Islands,Faroe Islands,19,9,2,8,37,33,4,47.368421052631575,29.0,1.5263157894736843
Felvidék,Felvidék,0,0,0,0,0,0,0,,0.0,
Fiji,Fiji,48,18,8,22,81,91,-10,37.5,62.0,1.2916666666666667
Finland,Finland,93,16,22,55,78,182,-104,17.20430107526882,70.0,0.7526881720430108
France,France,88,43,22,23,141,82,59,48.86363636363637,151.0,1.7159090909090908
French Guiana,French Guiana,16,3,4,9,12,18,-6,18.75,13.0,0.8125
Frøya,Frøya,0,0,0,0,0,0,0,,0.0,
Gabon,Gabon,51,18,15,18,51,52,-1,35.294117647058826,69.0,1.3529411764705883
Galicia,Galicia,0,0,0,0,0,0,0,,0.0,
Gambia,Gambia,58,15,17,26,56,75,-19,25.862068965517242,62.0,1.0689655172413792
Georgia,Georgia,0,0,0,0,0,0,0,,0.0,
German DR,German DR,101,45,20,36,146,115,31,44.554455445544555,155.0,1.5346534653465347
Germany,Germany,110,62,26,22,203,102,101,56.36363636363636,212.0,1.9272727272727272
Ghana,Ghana,99,46,33,20,133,91,42,46.464646464646464,171.0,1.7272727272727273
Gibraltar,Gibraltar,0,0,0,0,0,0,0,,0.0,
Gotland,Gotland,0,0,0,0,0,0,0,,0.0,
Gozo,Gozo,0,0,0,0,0,0,0,,0.0,
Greece,Greece,103,28,27,48,103,162,-59,27.184466019417474,111.0,1.0776699029126213
Greenland,Greenland,11,1,1,9,9,27,-18,9.090909090909092,4.0,0.36363636363636365
Grenada,Grenada,18,4,5,9,20,34,-14,22.22222222222222,17.0,0.9444444444444444
Guadeloupe,Guadeloupe,32,12,8,12,46,41,5,37.5,44.0,1.375
Guam,Guam,0,0,0,0,0,0,0,,0.0,
Guatemala,Guatemala,64,20,15,29,66,64,2,31.25,75.0,1.171875
Guernsey,Guernsey,0,0,0,0,0,0,0,,0.0,
Guinea,Guinea,107,30,41,36,95,117,-22,28.037383177570092,131.0,1.2242990654205608
Guinea-Bissau,Guinea-Bissau,38,10,11,17,37,55,-18,26.31578947368421,41.0,1.0789473684210527
Guyana,Guyana,31,9,9,13,35,45,-10,29.03225806451613,36.0,1.1612903225806452
Găgăuzia,Găgăuzia,0,0,0,0,0,0,0,,0.0,
Haiti,Haiti,27,6,5,16,17,41,-24,22.22222222222222,23.0,0.8518518518518519
Hitra,Hitra,0,0,0,0,0,0,0,,0.0,
Honduras,Honduras,62,27,23,12,74,47,27,43.54838709677419,104.0,1.6774193548387097
Hong Kong,Hong Kong,48,16,13,19,59,59,0,33.33333333333333,61.0,1.2708333333333333
Hungary,Hungary,96,42,22,32,154,122,32,43.75,148.0,1.5416666666666667
Iceland,Iceland,73,20,17,36,80,110,-30,27.397260273972602,77.0,1.0547945205479452
India,India,54,10,15,29,45,86,-41,18.51851851851852,45.0,0.8333333333333334
Indonesia,Indonesia,86,24,21,41,85,138,-53,27.906976744186046,93.0,1.0813953488372092
Iran,Iran,51,28,14,9,92,35,57,54.90196078431373,98.0,1.9215686274509804
Iraq,Iraq,83,44,25,14,144,67,77,53.01204819277109,157.0,1.891566265060241
Iraqi Kurdistan,Iraqi Kurdistan,0,0,0,0,0,0,0,,0.0,
Isle of Man,Isle of Man,0,0,0,0,0,0,0,,0.0,
Isle of Wight,Isle of Wight,0,0,0,0,0,0,0,,0.0,
Israel,Israel,55,10,21,24,57,80,-23,18.181818181818183,51.0,0.9272727272727272
Italy,Italy,97,48,30,19,131,72,59,49.48453608247423,174.0,1.7938144329896908
Ivory Coast,Ivory Coast,109,53,31,25,169,110,59,48.62385321100918,190.0,1.7431192660550459
Jamaica,Jamaica,20,4,9,7,17,29,-12,20.0,21.0,1.05
Japan,Japan,71,28,16,27,86,76,10,39.436619718309856,100.0,1.408450704225352
Jersey,Jersey,0,0,0,0,0,0,0,,0.0,
Jordan,Jordan,40,11,7,22,34,57,-23,27.500000000000004,40.0,1.0
Kabylia,Kabylia,0,0,0,0,0,0,0,,0.0,
Kazakhstan,Kazakhstan,0,0,0,0,0,0,0,,0.0,
Kenya,Kenya,92,35,23,34,96,111,-15,38.04347826086957,128.0,1.391304347826087
Kernow,Kernow,0,0,0,0,0,0,0,,0.0,
Kiribati,Kiribati,0,0,0,0,0,0,0,,0.0,
Kosovo,Kosovo,0,0,0,0,0,0,0,,0.0,
Kuwait,Kuwait,94,42,28,24,119,69,50,44.680851063829785,154.0,1.6382978723404256
Kyrgyzstan,Kyrgyzstan,0,0,0,0,0,0,0,,0.0,
Kárpátalja,Kárpátalja,0,0,0,0,0,0,0,,0.0,
Laos,Laos,0,0,0,0,0,0,0,,0.0,
Latvia,Latvia,0,0,0,0,0,0,0,,0.0,
Lebanon,Lebanon,10,1,2,7,2,38,-36,10.0,5.0,0.5
Lesotho,Lesotho,9,1,2,6,10,26,-16,11.11111111111111,5.0,0.5555555555555556
Liberia,Liberia,64,17,18,29,46,74,-28,26.5625,69.0,1.078125
Libya,Libya,37,20,8,9,52,26,26,54.054054054054056,68.0,1.837837837837838
Liechtenstein,Liechtenstein,6,2,1,3,6,12,-6,33.33333333333333,7.0,1.1666666666666667
Lithuania,Lithuania,0,0,0,0,0,0,0,,0.0,
Luxembourg,Luxembourg,60,2,3,55,19,169,-150,3.3333333333333335,9.0,0.15
Macau,Macau,19,3,0,16,9,47,-38,15.789473684210526,9.0,0.47368421052631576
Madagascar,Madagascar,27,12,8,7,34,28,6,44.44444444444444,44.0,1.6296296296296295
Madrid,Madrid,0,0,0,0,0,0,0,,0.0,
Malawi,Malawi,130,53,41,36,156,127,29,40.76923076923077,200.0,1.5384615384615385
Malaysia,Malaysia,90,31,25,34,117,116,1,34.44444444444444,118.0,1.3111111111111111
Maldives,Maldives,0,0,0,0,0,0,0,,0.0,
Mali,Mali,100,38,32,30,125,107,18,38.0,146.0,1.46
Malta,Malta,65,8,12,45,43,172,-129,12.307692307692308,36.0,0.5538461538461539
Manchukuo,Manchukuo,0,0,0,0,0,0,0,,0.0,
Martinique,Martinique,22,10,6,6,48,25,23,45.45454545454545,36.0,1.6363636363636365
Matabeleland,Matabeleland,0,0,0,0,0,0,0,,0.0,
Mauritania,Mauritania,55,5,12,38,36,101,-65,9.090909090909092,27.0,0.4909090909090909
Mauritius,Mauritius,22,5,9,8,16,23,-7,22.727272727272727,24.0,1.0909090909090908
Mayotte,Mayotte,0,0,0,0,0,0,0,,0.0,
Menorca,Menorca,0,0,0,0,0,0,0,,0.0,
Mexico,Mexico,86,47,26,13,151,74,77,54.65116279069767,167.0,1.941860465116279
Micronesia,Micronesia,0,0,0,0,0,0,0,,0.0,
Moldova,Moldova,0,0,0,0,0,0,0,,0.0,
Monaco,Monaco,0,0,0,0,0,0,0,,0.0,
Mongolia,Mongolia,0,0,0,0,0,0,0,,0.0,
Montenegro,Montenegro,0,0,0,0,0,0,0,,0.0,
Montserrat,Montserrat,0,0,0,0,0,0,0,,0.0,
Morocco,Morocco,93,36,34,23,109,75,34,38.70967741935484,142.0,1.5268817204301075
Mozambique,Mozambique,40,7,10,23,42,70,-28,17.5,31.0,0.775
Myanmar,Myanmar,0,0,0,0,0,0,0,,0.0,
Namibia,Namibia,1,0,0,1,0,1,-1,0.0,0.0,0.0
Nepal,Nepal,37,5,4,28,18,122,-104,13.513513513513514,19.0,0.5135135135135135
Netherlands,Netherlands,76,38,17,21,118,60,58,50.0,131.0,1.7236842105263157
New Caledonia,New Caledonia,25,16,1,8,71,37,34,64.0,49.0,1.96
New Zealand,New Zealand,74,33,18,23,129,89,40,44.5945945945946,117.0,1.5810810810810811
Nicaragua,Nicaragua,1,0,0,1,0,2,-2,0.0,0.0,0.0
Niger,Niger,38,10,11,17,33,46,-13,26.31578947368421,41.0,1.0789473684210527
Nigeria,Nigeria,82,32,29,21,87,69,18,39.02439024390244,125.0,1.524390243902439
Niue,Niue,2,0,0,2,0,33,-33,0.0,0.0,0.0
North Korea,North Korea,47,21,11,15,65,46,19,44.680851063829785,74.0,1.574468085106383
North Macedonia,North Macedonia,0,0,0,0,0,0,0,,0.0,
North Vietnam,North Vietnam,0,0,0,0,0,0,0,,0.0,
Northern Cyprus,Northern Cyprus,2,0,0,2,0,7,-7,0.0,0.0,0.0
Northern Ireland,Northern Ireland,72,22,24,26,57,76,-19,30.555555555555557,90.0,1.25
Northern Mariana Islands,Northern Mariana Islands,0,0,0,0,0,0,0,,0.0,
Norway,Norway,90,27,27,36,105,115,-10,30.0,108.0,1.2
Occitania,Occitania,0,0,0,0,0,0,0,,0.0,
Oman,Oman,47,6,9,32,35,92,-57,12.76595744680851,27.0,0.574468085106383
Orkney,Orkney,0,0,0,0,0,0,0,,0.0,
Padania,Padania,0,0,0,0,0,0,0,,0.0,
Pakistan,Pakistan,25,7,1,17,21,56,-35,28.000000000000004,22.0,0.88
Palau,Palau,1,0,0,1,2,6,-4,0.0,0.0,0.0
Palestine,Palestine,0,0,0,0,0,0,0,,0.0,
Panama,Panama,36,7,13,16,22,49,-27,19.444444444444446,34.0,0.9444444444444444
Panjab,Panjab,0,0,0,0,0,0,0,,0.0,
Papua New Guinea,Papua New Guinea,24,9,4,11,69,54,15,37.5,31.0,1.2916666666666667
Paraguay,Paraguay,88,38,24,26,117,99,18,43.18181818181818,138.0,1.5681818181818181
Parishes of Jersey,Parishes of Jersey,0,0,0,0,0,0,0,,0.0,
Peru,Peru,84,19,28,37,75,118,-43,22.61904761904762,85.0,1.0119047619047619
Philippines,Philippines,8,0,0,8,4,24,-20,0.0,0.0,0.0
Poland,Poland,118,52,28,38,172,141,31,44.06779661016949,184.0,1.5593220338983051
Portugal,Portugal,74,30,16,28,90,100,-10,40.54054054054054,106.0,1.4324324324324325
Provence,Provence,0,0,0,0,0,0,0,,0.0,
Puerto Rico,Puerto Rico,6,0,1,5,2,14,-12,0.0,1.0,0.16666666666666666
Qatar,Qatar,87,36,22,29,116,88,28,41.37931034482759,130.0,1.4942528735632183
Raetia,Raetia,0,0,0,0,0,0,0,,0.0,
Republic of Ireland,Republic of Ireland,75,31,19,25,96,75,21,41.333333333333336,112.0,1.4933333333333334
Republic of St. Pauli,Republic of St. Pauli,0,0,0,0,0,0,0,,0.0,
Rhodes,Rhodes,0,0,0,0,0,0,0,,0.0,
Romani people,Romani people,0,0,0,0,0,0,0,,0.0,
Romania,Romania,99,40,29,30,136,113,23,40.4040404040404,149.0,1.505050505050505
Russia,Russia,104,59,26,19,174,76,98,56.730769230769226,203.0,1.9519230769230769
Rwanda,Rwanda,8,3,0,5,5,11,-6,37.5,9.0,1.125
Réunion,Réunion,19,4,6,9,17,34,-17,21.052631578947366,18.0,0.9473684210526315
Saare County,Saare County,0,0,0,0,0,0,0,,0.0,
Saarland,Saarland,0,0,0,0,0,0,0,,0.0,
Saint Helena,Saint Helena,0,0,0,0,0,0,0,,0.0,
Saint Kitts and Nevis,Saint Kitts and Nevis,8,4,0,4,9,18,-9,50.0,12.0,1.5
Saint Lucia,Saint Lucia,8,2,3,3,10,15,-5,25.0,9.0,1.125
Saint Martin,Saint Martin,0,0,0,0,0,0,0,,0.0,
Saint Pierre and Miquelon,Saint Pierre and Miquelon,0,0,0,0,0,0,0,,0.0,
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,21,8,5,8,28,34,-6,38.095238095238095,29.0,1.380952380952381
Samoa,Samoa,4,1,1,2,7,8,-1,25.0,4.0,1.0
San Marino,San Marino,0,0,0,0,0,0,0,,0.0,
Sark,Sark,0,0,0,0,0,0,0,,0.0,
Saudi Arabia,Saudi Arabia,108,44,28,36,142,117,25,40.74074074074074,160.0,1.4814814814814814
Scotland,Scotland,86,34,24,28,99,83,16,39.53488372093023,126.0,1.4651162790697674
Senegal,Senegal,118,58,31,29,144,84,60,49.152542372881356,205.0,1.7372881355932204
Serbia,Serbia,0,0,0,0,0,0,0,,0.0,
Seychelles,Seychelles,7,0,3,4,4,11,-7,0.0,3.0,0.42857142857142855
Shetland,Shetland,4,0,0,4,1,13,-12,0.0,0.0,0.0
Sierra Leone,Sierra Leone,56,19,14,23,51,64,-13,33.92857142857143,71.0,1.2678571428571428
Silesia,Silesia,0,0,0,0,0,0,0,,0.0,
Singapore,Singapore,66,20,11,35,79,90,-11,30.303030303030305,71.0,1.0757575757575757
Sint Maarten,Sint Maarten,3,0,0,3,2,14,-12,0.0,0.0,0.0
Slovakia,Slovakia,0,0,0,0,0,0,0,,0.0,
Slovenia,Slovenia,0,0,0,0,0,0,0,,0.0,
Solomon Islands,Solomon Islands,13,3,3,7,13,38,-25,23.076923076923077,12.0,0.9230769230769231
Somalia,Somalia,15,2,6,7,10,16,-6,13.333333333333334,12.0,0.8
Somaliland,Somaliland,0,0,0,0,0,0,0,,0.0,
South Africa,South Africa,0,0,0,0,0,0,0,,0.0,
South Korea,South Korea,127,73,28,26,234,96,138,57.48031496062992,247.0,1.9448818897637796
South Ossetia,South Ossetia,0,0,0,0,0,0,0,,0.0,
South Sudan,South Sudan,0,0,0,0,0,0,0,,0.0,
Spain,Spain,102,48,28,26,161,97,64,47.05882352941176,172.0,1.6862745098039216
Sri Lanka,Sri Lanka,9,1,2,6,8,25,-17,11.11111111111111,5.0,0.5555555555555556
Sudan,Sudan,36,9,11,16,24,43,-19,25.0,38.0,1.0555555555555556
Suriname,Suriname,35,13,12,10,46,41,5,37.142857142857146,51.0,1.457142857142857
Sweden,Sweden,94,46,23,25,143,89,54,48.93617021276596,161.0,1.7127659574468086
Switzerland,Switzerland,95,29,29,37,98,125,-27,30.526315789473685,116.0,1.2210526315789474
Syria,Syria,55,20,12,23,55,65,-10,36.36363636363637,72.0,1.309090909090909
Székely Land,Székely Land,0,0,0,0,0,0,0,,0.0,
Sápmi,Sápmi,0,0,0,0,0,0,0,,0.0,
São Tomé and Príncipe,São Tomé and Príncipe,4,0,2,2,4,7,-3,0.0,2.0,0.5
Tahiti,Tahiti,26,19,4,3,78,22,56,73.07692307692307,61.0,2.3461538461538463
Tajikistan,Tajikistan,0,0,0,0,0,0,0,,0.0,
Tamil Eelam,Tamil Eelam,0,0,0,0,0,0,0,,0.0,
Tanzania,Tanzania,70,13,26,31,60,90,-30,18.571428571428573,65.0,0.9285714285714286
Thailand,Thailand,87,25,22,40,96,147,-51,28.735632183908045,97.0,1.1149425287356323
Tibet,Tibet,0,0,0,0,0,0,0,,0.0,
Timor-Leste,Timor-Leste,0,0,0,0,0,0,0,,0.0,
Togo,Togo,63,24,15,24,79,82,-3,38.095238095238095,87.0,1.380952380952381
Tonga,Tonga,3,1,1,1,6,8,-2,33.33333333333333,4.0,1.3333333333333333
Trinidad and Tobago,Trinidad and Tobago,83,36,26,21,142,86,56,43.373493975903614,134.0,1.6144578313253013
Tunisia,Tunisia,90,32,19,39,99,97,2,35.55555555555556,115.0,1.2777777777777777
Turkey,Turkey,62,15,11,36,52,118,-66,24.193548387096776,56.0,0.9032258064516129
Turkmenistan,Turkmenistan,0,0,0,0,0,0,0,,0.0,
Turks and Caicos Islands,Turks and Caicos Islands,0,0,0,0,0,0,0,,0.0,
Tuvalu,Tuvalu,0,0,0,0,0,0,0,,0.0,
U.S. Virgin Islands,U.S. Virgin Islands,0,0,0,0,0,0,0,,0.0,
Uganda,Uganda,68,26,20,22,89,80,9,38.23529411764706,98.0,1.4411764705882353
Ukraine,Ukraine,0,0,0,0,0,0,0,,0.0,
United Arab Emirates,United Arab Emirates,87,40,18,29,138,101,37,45.97701149425287,138.0,1.5862068965517242
United Koreans in Japan,United Koreans in Japan,0,0,0,0,0,0,0,,0.0,
United States,United States,53,19,17,17,52,55,-3,35.84905660377358,74.0,1.3962264150943395
Uruguay,Uruguay,102,49,30,23,146,84,62,48.03921568627451,177.0,1.7352941176470589
Uzbekistan,Uzbekistan,0,0,0,0,0,0,0,,0.0,
Vanuatu,Vanuatu,24,4,2,18,37,80,-43,16.666666666666664,14.0,0.5833333333333334
Vatican City,Vatican City,0,0,0,0,0,0,0,,0.0,
Venezuela,Venezuela,34,4,5,25,21,85,-64,11.76470588235294,17.0,0.5
Vietnam,Vietnam,0,0,0,0,0,0,0,,0.0,
Vietnam Republic,Vietnam Republic,0,0,0,0,0,0,0,,0.0,
Wales,Wales,68,24,19,25,80,72,8,35.294117647058826,91.0,1.338235294117647
Wallis Islands and Futuna,Wallis Islands and Futuna,9,3,0,6,12,26,-14,33.33333333333333,9.0,1.0
Western Armenia,Western Armenia,0,0,0,0,0,0,0,,0.0,
Western Isles,Western Isles,0,0,0,0,0,0,0,,0.0,
Western Sahara,Western Sahara,0,0,0,0,0,0,0,,0.0,
Yemen,Yemen,18,1,3,14,8,42,-34,5.555555555555555,6.0,0.3333333333333333
Yemen DPR,Yemen DPR,10,1,3,6,10,24,-14,10.0,6.0,0.6
Ynys Môn,Ynys Môn,4,3,0,1,9,10,-1,75.0,9.0,2.25
Yorkshire,Yorkshire,0,0,0,0,0,0,0,,0.0,
Yugoslavia,Yugoslavia,81,42,16,23,134,105,29,51.85185185185185,142.0,1.7530864197530864
Zambia,Zambia,114,49,29,36,159,112,47,42.98245614035088,176.0,1.543859649122807
Zanzibar,Zanzibar,26,4,5,17,15,37,-22,15.384615384615385,17.0,0.6538461538461539
Zimbabwe,Zimbabwe,99,40,29,30,129,110,19,40.4040404040404,149.0,1.505050505050505
Åland Islands,Åland Islands,4,2,0,2,10,12,-2,50.0,6.0,1.5
Asturias,Asturias,0,0,0,0,0,0,0,,0.0,
Congo DR,Congo DR,0,0,0,0,0,0,0,,0.0,
Surrey,Surrey,0,0,0,0,0,0,0,,0.0,
Two Sicilies,Two Sicilies,0,0,0,0,0,0,0,,0.0,
Western Australia,Western Australia,2,1,1,0,3,1,2,50.0,4.0,2.0
