,country,MP,W,D,L,GF,GA,GD,WP,TP,PPG
East Timor,East Timor,14,0,1,13,14,55,-41,0.0,1.0,0.07142857142857142
Ecuador,Ecuador,135,49,28,58,159,177,-18,36.2962962962963,175.0,1.2962962962962963
Egypt,Egypt,147,84,33,30,264,133,131,57.14285714285714,285.0,1.9387755102040816
El Salvador,El Salvador,125,33,29,63,122,178,-56,26.400000000000002,128.0,1.024
Ellan Vannin,Ellan Vannin,0,0,0,0,0,0,0,,0.0,
England,England,117,67,27,23,224,101,123,57.26495726495726,228.0,1.9487179487179487
Equatorial Guinea,Equatorial Guinea,34,9,5,20,28,58,-30,26.47058823529412,32.0,0.9411764705882353
Eritrea,Eritrea,46,9,11,26,36,75,-39,19.565217391304348,38.0,0.8260869565217391
Estonia,Estonia,125,34,29,62,115,197,-82,27.200000000000003,131.0,1.048
Eswatini,Eswatini,91,21,26,44,77,152,-75,23.076923076923077,89.0,0.978021978021978
Ethiopia,Ethiopia,70,33,11,26,101,78,23,47.14285714285714,110.0,1.5714285714285714
Falkland Islands,Falkland Islands,13,2,0,11,10,49,-39,15.384615384615385,6.0,0.46153846153846156
Faroe Islands,Faroe Islands,69,11,5,53,51,173,-122,15.942028985507244,38.0,0.5507246376811594
Felvidék,Felvidék,0,0,0,0,0,0,0,,0.0,
Fiji,Fiji,44,27,5,12,141,52,89,61.36363636363637,86.0,1.9545454545454546
Finland,Finland,119,47,29,43,149,139,10,39.49579831932773,170.0,1.4285714285714286
France,France,137,85,33,19,248,88,160,62.04379562043796,288.0,2.102189781021898
French Guiana,French Guiana,23,7,5,11,28,37,-9,30.434782608695656,26.0,1.1304347826086956
Frøya,Frøya,12,3,1,8,27,41,-14,25.0,10.0,0.8333333333333334
Gabon,Gabon,84,29,25,30,109,98,11,34.523809523809526,112.0,1.3333333333333333
Galicia,Galicia,4,2,2,0,8,6,2,50.0,8.0,2.0
Gambia,Gambia,42,10,15,17,33,48,-15,23.809523809523807,45.0,1.0714285714285714
Georgia,Georgia,93,22,21,50,101,152,-51,23.655913978494624,87.0,0.9354838709677419
German DR,German DR,0,0,0,0,0,0,0,,0.0,
Germany,Germany,140,82,30,28,315,147,168,58.57142857142858,276.0,1.9714285714285715
Ghana,Ghana,113,47,28,38,160,123,37,41.5929203539823,169.0,1.4955752212389382
Gibraltar,Gibraltar,24,14,4,6,72,20,52,58.333333333333336,46.0,1.9166666666666667
Gotland,Gotland,13,5,3,5,21,17,4,38.46153846153847,18.0,1.3846153846153846
Gozo,Gozo,3,0,0,3,4,12,-8,0.0,0.0,0.0
Greece,Greece,113,54,27,32,147,119,28,47.78761061946903,189.0,1.6725663716814159
Greenland,Greenland,24,9,4,11,52,44,8,37.5,31.0,1.2916666666666667
Grenada,Grenada,61,19,12,30,124,126,-2,31.147540983606557,69.0,1.1311475409836065
Guadeloupe,Guadeloupe,60,33,8,19,119,71,48,55.00000000000001,107.0,1.7833333333333334
Guam,Guam,31,5,1,25,30,233,-203,16.129032258064516,16.0,0.5161290322580645
Guatemala,Guatemala,133,45,36,52,165,167,-2,33.83458646616541,171.0,1.2857142857142858
Guernsey,Guernsey,32,16,8,8,78,33,45,50.0,56.0,1.75
Guinea,Guinea,89,39,21,29,138,112,26,43.82022471910113,138.0,1.550561797752809
Guinea-Bissau,Guinea-Bissau,17,4,5,8,20,23,-3,23.52941176470588,17.0,1.0
Guyana,Guyana,43,20,7,16,73,54,19,46.51162790697674,67.0,1.558139534883721
Găgăuzia,Găgăuzia,3,0,1,2,2,9,-7,0.0,1.0,0.3333333333333333
Haiti,Haiti,126,45,35,46,198,171,27,35.714285714285715,170.0,1.3492063492063493
Hitra,Hitra,0,0,0,0,0,0,0,,0.0,
Honduras,Honduras,153,75,31,47,271,174,97,49.01960784313725,256.0,1.673202614379085
Hong Kong,Hong Kong,71,24,15,32,148,116,32,33.80281690140845,87.0,1.2253521126760563
Hungary,Hungary,106,40,19,47,143,140,3,37.735849056603776,139.0,1.3113207547169812
Iceland,Iceland,92,27,19,46,107,148,-41,29.347826086956523,100.0,1.0869565217391304
India,India,77,31,16,30,103,114,-11,40.25974025974026,109.0,1.4155844155844155
Indonesia,Indonesia,87,35,20,32,154,124,30,40.229885057471265,125.0,1.4367816091954022
Iran,Iran,164,90,44,30,309,141,168,54.87804878048781,314.0,1.9146341463414633
Iraq,Iraq,147,56,43,48,223,165,58,38.095238095238095,211.0,1.435374149659864
Iraqi Kurdistan,Iraqi Kurdistan,9,3,2,4,18,11,7,33.33333333333333,11.0,1.2222222222222223
Isle of Man,Isle of Man,18,10,2,6,48,29,19,55.55555555555556,32.0,1.7777777777777777
Isle of Wight,Isle of Wight,13,4,1,8,36,25,11,30.76923076923077,13.0,1.0
Israel,Israel,84,35,27,22,129,102,27,41.66666666666667,132.0,1.5714285714285714
Italy,Italy,127,72,35,20,192,98,94,56.69291338582677,251.0,1.9763779527559056
Ivory Coast,Ivory Coast,107,57,28,22,204,96,108,53.271028037383175,199.0,1.8598130841121496
Jamaica,Jamaica,144,59,40,45,215,156,59,40.97222222222222,217.0,1.5069444444444444
Japan,Japan,170,91,43,36,298,146,152,53.529411764705884,316.0,1.8588235294117648
Jersey,Jersey,35,21,8,6,70,35,35,60.0,71.0,2.0285714285714285
Jordan,Jordan,147,53,47,47,179,141,38,36.054421768707485,206.0,1.401360544217687
Kabylia,Kabylia,0,0,0,0,0,0,0,,0.0,
Kazakhstan,Kazakhstan,84,18,18,48,90,147,-57,21.428571428571427,72.0,0.8571428571428571
Kenya,Kenya,130,43,40,47,155,144,11,33.07692307692307,169.0,1.3
Kernow,Kernow,6,4,1,1,13,6,7,66.66666666666666,13.0,2.1666666666666665
Kiribati,Kiribati,4,0,0,4,2,40,-38,0.0,0.0,0.0
Kosovo,Kosovo,1,1,0,0,7,1,6,100.0,3.0,3.0
Kuwait,Kuwait,147,52,46,49,222,173,49,35.374149659863946,202.0,1.3741496598639455
Kyrgyzstan,Kyrgyzstan,54,15,7,32,55,88,-33,27.77777777777778,52.0,0.9629629629629629
Kárpátalja,Kárpátalja,0,0,0,0,0,0,0,,0.0,
Laos,Laos,45,9,4,32,36,188,-152,20.0,31.0,0.6888888888888889
Latvia,Latvia,109,35,21,53,128,155,-27,32.11009174311927,126.0,1.1559633027522935
Lebanon,Lebanon,93,23,29,41,121,137,-16,24.731182795698924,98.0,1.053763440860215
Lesotho,Lesotho,96,19,29,48,77,132,-55,19.791666666666664,86.0,0.8958333333333334
Liberia,Liberia,56,15,9,32,58,102,-44,26.785714285714285,54.0,0.9642857142857143
Libya,Libya,93,32,21,40,117,123,-6,34.40860215053764,117.0,1.2580645161290323
Liechtenstein,Liechtenstein,76,5,9,62,39,191,-152,6.578947368421052,24.0,0.3157894736842105
Lithuania,Lithuania,95,31,12,52,103,151,-48,32.631578947368425,105.0,1.105263157894737
Luxembourg,Luxembourg,87,3,13,71,34,218,-184,3.4482758620689653,22.0,0.25287356321839083
Macau,Macau,40,5,4,31,33,121,-88,12.5,19.0,0.475
Madagascar,Madagascar,65,17,14,34,60,100,-40,26.153846153846157,65.0,1.0
Madrid,Madrid,0,0,0,0,0,0,0,,0.0,
Malawi,Malawi,109,34,26,49,125,154,-29,31.19266055045872,128.0,1.1743119266055047
Malaysia,Malaysia,112,36,26,50,169,175,-6,32.142857142857146,134.0,1.1964285714285714
Maldives,Maldives,65,19,12,34,91,116,-25,29.230769230769234,69.0,1.0615384615384615
Mali,Mali,101,51,22,28,147,102,45,50.495049504950494,175.0,1.7326732673267327
Malta,Malta,99,11,17,71,68,228,-160,11.11111111111111,50.0,0.5050505050505051
Manchukuo,Manchukuo,0,0,0,0,0,0,0,,0.0,
Martinique,Martinique,63,27,17,19,99,83,16,42.857142857142854,98.0,1.5555555555555556
Matabeleland,Matabeleland,0,0,0,0,0,0,0,,0.0,
Mauritania,Mauritania,36,3,9,24,26,70,-44,8.333333333333332,18.0,0.5
Mauritius,Mauritius,59,10,12,37,41,112,-71,16.94915254237288,42.0,0.711864406779661
Mayotte,Mayotte,9,0,3,6,11,24,-13,0.0,3.0,0.3333333333333333
Menorca,Menorca,8,4,2,2,24,9,15,50.0,14.0,1.75
Mexico,Mexico,187,100,33,54,327,184,143,53.475935828877006,333.0,1.7807486631016043
Micronesia,Micronesia,4,0,0,4,0,52,-52,0.0,0.0,0.0
Moldova,Moldova,88,19,23,46,68,134,-66,21.59090909090909,80.0,0.9090909090909091
Monaco,Monaco,8,2,2,4,9,51,-42,25.0,8.0,1.0
Mongolia,Mongolia,30,7,3,20,31,102,-71,23.333333333333332,24.0,0.8
Montenegro,Montenegro,23,8,8,7,28,31,-3,34.78260869565217,32.0,1.391304347826087
Montserrat,Montserrat,10,0,0,10,9,55,-46,0.0,0.0,0.0
Morocco,Morocco,116,59,31,26,166,86,80,50.86206896551724,208.0,1.793103448275862
Mozambique,Mozambique,75,29,20,26,70,67,3,38.666666666666664,107.0,1.4266666666666667
Myanmar,Myanmar,0,0,0,0,0,0,0,,0.0,
Namibia,Namibia,76,18,16,42,81,133,-52,23.684210526315788,70.0,0.9210526315789473
Nepal,Nepal,49,15,6,28,59,135,-76,30.612244897959183,51.0,1.0408163265306123
Netherlands,Netherlands,122,76,31,15,233,79,154,62.295081967213115,259.0,2.122950819672131
New Caledonia,New Caledonia,41,23,6,12,118,60,58,56.09756097560976,75.0,1.829268292682927
New Zealand,New Zealand,64,27,8,29,109,94,15,42.1875,89.0,1.390625
Nicaragua,Nicaragua,41,7,4,30,27,109,-82,17.073170731707318,25.0,0.6097560975609756
Niger,Niger,28,5,6,17,24,59,-35,17.857142857142858,21.0,0.75
Nigeria,Nigeria,116,65,31,20,176,86,90,56.03448275862068,226.0,1.9482758620689655
Niue,Niue,0,0,0,0,0,0,0,,0.0,
North Korea,North Korea,97,32,34,31,146,100,46,32.98969072164948,130.0,1.3402061855670102
North Macedonia,North Macedonia,97,24,28,45,104,139,-35,24.742268041237114,100.0,1.0309278350515463
North Vietnam,North Vietnam,0,0,0,0,0,0,0,,0.0,
Northern Cyprus,Northern Cyprus,11,9,1,1,38,7,31,81.81818181818183,28.0,2.5454545454545454
Northern Ireland,Northern Ireland,83,22,23,38,78,107,-29,26.506024096385545,89.0,1.072289156626506
Northern Mariana Islands,Northern Mariana Islands,6,0,0,6,7,27,-20,0.0,0.0,0.0
Norway,Norway,117,47,36,34,154,118,36,40.17094017094017,177.0,1.5128205128205128
Occitania,Occitania,5,1,0,4,4,16,-12,20.0,3.0,0.6
Oman,Oman,157,77,36,44,262,159,103,49.044585987261144,267.0,1.7006369426751593
Orkney,Orkney,13,2,0,11,13,56,-43,15.384615384615385,6.0,0.46153846153846156
Padania,Padania,9,9,0,0,25,4,21,100.0,27.0,3.0
Pakistan,Pakistan,59,12,11,36,60,131,-71,20.33898305084746,47.0,0.7966101694915254
Palau,Palau,0,0,0,0,0,0,0,,0.0,
Palestine,Palestine,60,9,16,35,66,106,-40,15.0,43.0,0.7166666666666667
Panama,Panama,128,36,36,56,131,180,-49,28.125,144.0,1.125
Panjab,Panjab,0,0,0,0,0,0,0,,0.0,
Papua New Guinea,Papua New Guinea,21,7,3,11,59,53,6,33.33333333333333,24.0,1.1428571428571428
Paraguay,Paraguay,128,46,39,43,147,148,-1,35.9375,177.0,1.3828125
Parishes of Jersey,Parishes of Jersey,0,0,0,0,0,0,0,,0.0,
Peru,Peru,104,27,29,48,112,154,-42,25.961538461538463,110.0,1.0576923076923077
Philippines,Philippines,41,9,5,27,35,119,-84,21.951219512195124,32.0,0.7804878048780488
Poland,Poland,135,66,30,39,220,144,76,48.888888888888886,228.0,1.6888888888888889
Portugal,Portugal,127,74,31,22,258,109,149,58.26771653543307,253.0,1.9921259842519685
Provence,Provence,8,2,1,5,12,30,-18,25.0,7.0,0.875
Puerto Rico,Puerto Rico,17,3,5,9,17,38,-21,17.647058823529413,14.0,0.8235294117647058
Qatar,Qatar,169,69,47,53,233,189,44,40.828402366863905,254.0,1.5029585798816567
Raetia,Raetia,0,0,0,0,0,0,0,,0.0,
Republic of Ireland,Republic of Ireland,103,46,38,19,144,90,54,44.66019417475729,176.0,1.7087378640776698
Republic of St. Pauli,Republic of St. Pauli,4,1,1,2,10,5,5,25.0,4.0,1.0
Rhodes,Rhodes,12,8,0,4,21,13,8,66.66666666666666,24.0,2.0
Romani people,Romani people,0,0,0,0,0,0,0,,0.0,
Romania,Romania,112,60,20,32,180,111,69,53.57142857142857,200.0,1.7857142857142858
Russia,Russia,100,48,27,25,160,106,54,48.0,171.0,1.71
Rwanda,Rwanda,113,43,25,45,135,137,-2,38.05309734513274,154.0,1.3628318584070795
Réunion,Réunion,11,4,4,3,17,13,4,36.36363636363637,16.0,1.4545454545454546
Saare County,Saare County,20,2,2,16,18,49,-31,10.0,8.0,0.4
Saarland,Saarland,0,0,0,0,0,0,0,,0.0,
Saint Helena,Saint Helena,0,0,0,0,0,0,0,,0.0,
Saint Kitts and Nevis,Saint Kitts and Nevis,63,26,9,28,122,98,24,41.269841269841265,87.0,1.380952380952381
Saint Lucia,Saint Lucia,53,19,5,29,97,114,-17,35.84905660377358,62.0,1.169811320754717
Saint Martin,Saint Martin,20,5,2,13,19,59,-40,25.0,17.0,0.85
Saint Pierre and Miquelon,Saint Pierre and Miquelon,0,0,0,0,0,0,0,,0.0,
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,25,13,6,6,50,26,24,52.0,45.0,1.8
Samoa,Samoa,17,6,1,10,31,46,-15,35.294117647058826,19.0,1.1176470588235294
San Marino,San Marino,53,1,2,50,11,211,-200,1.8867924528301887,5.0,0.09433962264150944
Sark,Sark,4,0,0,4,0,70,-70,0.0,0.0,0.0
Saudi Arabia,Saudi Arabia,187,105,41,41,335,167,168,56.14973262032086,356.0,1.9037433155080214
Scotland,Scotland,85,30,20,35,91,111,-20,35.294117647058826,110.0,1.2941176470588236
Senegal,Senegal,121,53,41,27,169,113,56,43.80165289256198,200.0,1.6528925619834711
Serbia,Serbia,116,49,32,35,171,127,44,42.241379310344826,179.0,1.543103448275862
Seychelles,Seychelles,38,7,5,26,30,75,-45,18.421052631578945,26.0,0.6842105263157895
Shetland,Shetland,17,7,5,5,31,24,7,41.17647058823529,26.0,1.5294117647058822
Sierra Leone,Sierra Leone,47,13,9,25,35,62,-27,27.659574468085108,48.0,1.0212765957446808
Silesia,Silesia,1,0,1,0,1,1,0,0.0,1.0,1.0
Singapore,Singapore,126,47,28,51,172,182,-10,37.301587301587304,169.0,1.3412698412698412
Sint Maarten,Sint Maarten,2,0,1,1,1,3,-2,0.0,1.0,0.5
Slovakia,Slovakia,109,40,31,38,173,138,35,36.69724770642202,151.0,1.385321100917431
Slovenia,Slovenia,100,34,27,39,118,126,-8,34.0,129.0,1.29
Solomon Islands,Solomon Islands,43,22,5,16,111,83,28,51.162790697674424,71.0,1.6511627906976745
Somalia,Somalia,38,4,2,32,14,101,-87,10.526315789473683,14.0,0.3684210526315789
Somaliland,Somaliland,0,0,0,0,0,0,0,,0.0,
South Africa,South Africa,154,66,37,51,174,153,21,42.857142857142854,235.0,1.525974025974026
South Korea,South Korea,171,76,57,38,255,138,117,44.44444444444444,285.0,1.6666666666666667
South Ossetia,South Ossetia,0,0,0,0,0,0,0,,0.0,
South Sudan,South Sudan,0,0,0,0,0,0,0,,0.0,
Spain,Spain,130,92,25,13,263,85,178,70.76923076923077,301.0,2.3153846153846156
Sri Lanka,Sri Lanka,77,22,20,35,95,143,-48,28.57142857142857,86.0,1.1168831168831168
Sudan,Sudan,128,46,28,54,153,166,-13,35.9375,166.0,1.296875
Suriname,Suriname,48,17,14,17,76,70,6,35.41666666666667,65.0,1.3541666666666667
Sweden,Sweden,141,59,43,39,216,131,85,41.843971631205676,220.0,1.5602836879432624
Switzerland,Switzerland,103,44,29,30,159,119,40,42.71844660194174,161.0,1.5631067961165048
Syria,Syria,146,59,38,49,243,186,57,40.41095890410959,215.0,1.4726027397260273
Székely Land,Székely Land,0,0,0,0,0,0,0,,0.0,
Sápmi,Sápmi,12,6,2,4,63,21,42,50.0,20.0,1.6666666666666667
São Tomé and Príncipe,São Tomé and Príncipe,6,1,0,5,4,20,-16,16.666666666666664,3.0,0.5
Tahiti,Tahiti,33,13,4,16,58,61,-3,39.39393939393939,43.0,1.303030303030303
Tajikistan,Tajikistan,47,19,9,19,83,62,21,40.42553191489361,66.0,1.4042553191489362
Tamil Eelam,Tamil Eelam,0,0,0,0,0,0,0,,0.0,
Tanzania,Tanzania,101,37,23,41,112,131,-19,36.633663366336634,134.0,1.3267326732673268
Thailand,Thailand,147,65,38,44,270,199,71,44.21768707482993,233.0,1.5850340136054422
Tibet,Tibet,8,0,0,8,2,35,-33,0.0,0.0,0.0
Timor-Leste,Timor-Leste,0,0,0,0,0,0,0,,0.0,
Togo,Togo,97,37,22,38,109,122,-13,38.144329896907216,133.0,1.3711340206185567
Tonga,Tonga,24,7,2,15,36,91,-55,29.166666666666668,23.0,0.9583333333333334
Trinidad and Tobago,Trinidad and Tobago,185,79,37,69,274,241,33,42.7027027027027,274.0,1.481081081081081
Tunisia,Tunisia,131,58,43,30,200,119,81,44.274809160305345,217.0,1.6564885496183206
Turkey,Turkey,128,58,37,33,195,135,60,45.3125,211.0,1.6484375
Turkmenistan,Turkmenistan,55,22,7,26,93,81,12,40.0,73.0,1.3272727272727274
Turks and Caicos Islands,Turks and Caicos Islands,10,2,0,8,6,36,-30,20.0,6.0,0.6
Tuvalu,Tuvalu,9,1,1,7,5,42,-37,11.11111111111111,4.0,0.4444444444444444
U.S. Virgin Islands,U.S. Virgin Islands,23,0,3,20,9,143,-134,0.0,3.0,0.13043478260869565
Uganda,Uganda,134,56,39,39,201,141,60,41.7910447761194,207.0,1.544776119402985
Ukraine,Ukraine,104,44,32,28,134,99,35,42.30769230769231,164.0,1.5769230769230769
United Arab Emirates,United Arab Emirates,150,46,43,61,191,208,-17,30.666666666666664,181.0,1.2066666666666668
United Koreans in Japan,United Koreans in Japan,0,0,0,0,0,0,0,,0.0,
United States,United States,169,96,31,42,290,148,142,56.80473372781065,319.0,1.8875739644970415
Uruguay,Uruguay,122,48,37,37,174,147,27,39.34426229508197,181.0,1.4836065573770492
Uzbekistan,Uzbekistan,105,44,24,37,191,137,54,41.904761904761905,156.0,1.4857142857142858
Vanuatu,Vanuatu,51,20,5,26,114,89,25,39.21568627450981,65.0,1.2745098039215685
Vatican City,Vatican City,1,0,1,0,0,0,0,0.0,1.0,1.0
Venezuela,Venezuela,124,43,25,56,150,187,-37,34.67741935483871,154.0,1.2419354838709677
Vietnam,Vietnam,80,33,19,28,150,119,31,41.25,118.0,1.475
Vietnam Republic,Vietnam Republic,0,0,0,0,0,0,0,,0.0,
Wales,Wales,88,31,23,34,99,96,3,35.22727272727273,116.0,1.3181818181818181
Wallis Islands and Futuna,Wallis Islands and Futuna,0,0,0,0,0,0,0,,0.0,
Western Armenia,Western Armenia,0,0,0,0,0,0,0,,0.0,
Western Isles,Western Isles,13,7,2,4,30,24,6,53.84615384615385,23.0,1.7692307692307692
Western Sahara,Western Sahara,0,0,0,0,0,0,0,,0.0,
Yemen,Yemen,80,20,16,44,107,162,-55,25.0,76.0,0.95
Yemen DPR,Yemen DPR,0,0,0,0,0,0,0,,0.0,
Ynys Môn,Ynys Môn,19,8,5,6,26,27,-1,42.10526315789473,29.0,1.5263157894736843
Yorkshire,Yorkshire,0,0,0,0,0,0,0,,0.0,
Yugoslavia,Yugoslavia,0,0,0,0,0,0,0,,0.0,
Zambia,Zambia,149,58,48,43,177,134,43,38.92617449664429,222.0,1.4899328859060403
Zanzibar,Zanzibar,48,13,16,19,48,69,-21,27.083333333333332,55.0,1.1458333333333333
Zimbabwe,Zimbabwe,119,54,28,37,155,128,27,45.378151260504204,190.0,1.596638655462185
Åland Islands,Åland Islands,14,7,1,6,22,20,2,50.0,22.0,1.5714285714285714
Asturias,Asturias,0,0,0,0,0,0,0,,0.0,
Congo DR,Congo DR,0,0,0,0,0,0,0,,0.0,
Surrey,Surrey,0,0,0,0,0,0,0,,0.0,
Two Sicilies,Two Sicilies,0,0,0,0,0,0,0,,0.0,
Western Australia,Western Australia,0,0,0,0,0,0,0,,0.0,
