,country,MP,W,D,L,GF,GA,GD,WP,TP,PPG
Eritrea,Eritrea,13,2,3,8,6,23,-17,15.384615384615385,9.0,0.6923076923076923
Estonia,Estonia,105,15,23,67,81,218,-137,14.285714285714285,68.0,0.6476190476190476
Eswatini,Eswatini,42,9,12,21,39,62,-23,21.428571428571427,39.0,0.9285714285714286
Ethiopia,Ethiopia,46,10,12,24,47,95,-48,21.73913043478261,42.0,0.9130434782608695
Falkland Islands,Falkland Islands,0,0,0,0,0,0,0,,0.0,
Faroe Islands,Faroe Islands,63,10,7,46,49,175,-126,15.873015873015872,37.0,0.5873015873015873
Felvidék,Felvidék,0,0,0,0,0,0,0,,0.0,
Fiji,Fiji,47,25,10,12,101,60,41,53.191489361702125,85.0,1.8085106382978724
Finland,Finland,104,24,33,47,115,147,-32,23.076923076923077,105.0,1.0096153846153846
France,France,99,62,26,11,175,70,105,62.62626262626263,212.0,2.1414141414141414
French Guiana,French Guiana,27,4,8,15,31,47,-16,14.814814814814813,20.0,0.7407407407407407
Frøya,Frøya,10,3,0,7,18,31,-13,30.0,9.0,0.9
Gabon,Gabon,94,41,21,32,117,101,16,43.61702127659575,144.0,1.5319148936170213
Galicia,Galicia,0,0,0,0,0,0,0,,0.0,
Gambia,Gambia,37,8,13,16,33,48,-15,21.62162162162162,37.0,1.0
Georgia,Georgia,57,20,7,30,76,86,-10,35.08771929824561,67.0,1.1754385964912282
German DR,German DR,7,5,1,1,13,9,4,71.42857142857143,16.0,2.2857142857142856
Germany,Germany,129,81,30,18,254,114,140,62.7906976744186,273.0,2.116279069767442
Ghana,Ghana,115,51,27,37,136,123,13,44.34782608695652,180.0,1.565217391304348
Gibraltar,Gibraltar,19,7,0,12,29,31,-2,36.84210526315789,21.0,1.105263157894737
Gotland,Gotland,5,3,1,1,27,12,15,60.0,10.0,2.0
Gozo,Gozo,0,0,0,0,0,0,0,,0.0,
Greece,Greece,95,45,23,27,139,95,44,47.368421052631575,158.0,1.6631578947368422
Greenland,Greenland,21,6,1,14,38,52,-14,28.57142857142857,19.0,0.9047619047619048
Grenada,Grenada,37,15,8,14,63,56,7,40.54054054054054,53.0,1.4324324324324325
Guadeloupe,Guadeloupe,28,9,5,14,38,43,-5,32.142857142857146,32.0,1.1428571428571428
Guam,Guam,14,4,0,10,25,100,-75,28.57142857142857,12.0,0.8571428571428571
Guatemala,Guatemala,70,22,22,26,75,87,-12,31.428571428571427,88.0,1.2571428571428571
Guernsey,Guernsey,26,7,7,12,33,46,-13,26.923076923076923,28.0,1.0769230769230769
Guinea,Guinea,78,27,20,31,92,79,13,34.61538461538461,101.0,1.294871794871795
Guinea-Bissau,Guinea-Bissau,32,10,3,19,28,60,-32,31.25,33.0,1.03125
Guyana,Guyana,34,6,9,19,44,75,-31,17.647058823529413,27.0,0.7941176470588235
Găgăuzia,Găgăuzia,0,0,0,0,0,0,0,,0.0,
Haiti,Haiti,42,19,8,15,76,59,17,45.23809523809524,65.0,1.5476190476190477
Hitra,Hitra,8,1,0,7,6,48,-42,12.5,3.0,0.375
Honduras,Honduras,95,40,26,29,159,120,39,42.10526315789473,146.0,1.5368421052631578
Hong Kong,Hong Kong,35,9,9,17,47,63,-16,25.71428571428571,36.0,1.0285714285714285
Hungary,Hungary,104,35,26,43,133,154,-21,33.65384615384615,131.0,1.2596153846153846
Iceland,Iceland,88,33,19,36,106,106,0,37.5,118.0,1.3409090909090908
India,India,50,12,15,23,59,95,-36,24.0,51.0,1.02
Indonesia,Indonesia,64,16,15,33,108,124,-16,25.0,63.0,0.984375
Iran,Iran,82,39,24,19,164,70,94,47.5609756097561,141.0,1.7195121951219512
Iraq,Iraq,50,31,12,7,121,41,80,62.0,105.0,2.1
Iraqi Kurdistan,Iraqi Kurdistan,0,0,0,0,0,0,0,,0.0,
Isle of Man,Isle of Man,13,5,1,7,30,25,5,38.46153846153847,16.0,1.2307692307692308
Isle of Wight,Isle of Wight,22,12,5,5,47,24,23,54.54545454545454,41.0,1.8636363636363635
Israel,Israel,89,33,18,38,139,134,5,37.07865168539326,117.0,1.3146067415730338
Italy,Italy,105,58,33,14,158,68,90,55.23809523809524,207.0,1.9714285714285715
Ivory Coast,Ivory Coast,109,53,30,26,155,110,45,48.62385321100918,189.0,1.7339449541284404
Jamaica,Jamaica,161,73,40,48,230,197,33,45.3416149068323,259.0,1.608695652173913
Japan,Japan,109,50,27,32,194,123,71,45.87155963302752,177.0,1.6238532110091743
Jersey,Jersey,30,21,2,7,62,33,29,70.0,65.0,2.1666666666666665
Jordan,Jordan,42,15,11,16,49,44,5,35.714285714285715,56.0,1.3333333333333333
Kabylia,Kabylia,0,0,0,0,0,0,0,,0.0,
Kazakhstan,Kazakhstan,31,11,9,11,33,39,-6,35.483870967741936,42.0,1.3548387096774193
Kenya,Kenya,88,36,21,31,110,101,9,40.909090909090914,129.0,1.4659090909090908
Kernow,Kernow,1,1,0,0,6,1,5,100.0,3.0,3.0
Kiribati,Kiribati,0,0,0,0,0,0,0,,0.0,
Kosovo,Kosovo,0,0,0,0,0,0,0,,0.0,
Kuwait,Kuwait,104,47,25,32,170,104,66,45.19230769230769,166.0,1.5961538461538463
Kyrgyzstan,Kyrgyzstan,23,4,3,16,25,58,-33,17.391304347826086,15.0,0.6521739130434783
Kárpátalja,Kárpátalja,0,0,0,0,0,0,0,,0.0,
Laos,Laos,9,2,2,5,9,22,-13,22.22222222222222,8.0,0.8888888888888888
Latvia,Latvia,85,23,17,45,82,127,-45,27.058823529411764,86.0,1.011764705882353
Lebanon,Lebanon,46,15,16,15,52,56,-4,32.608695652173914,61.0,1.326086956521739
Lesotho,Lesotho,35,6,11,18,31,65,-34,17.142857142857142,29.0,0.8285714285714286
Liberia,Liberia,46,12,12,22,41,61,-20,26.08695652173913,48.0,1.0434782608695652
Libya,Libya,21,6,4,11,21,32,-11,28.57142857142857,22.0,1.0476190476190477
Liechtenstein,Liechtenstein,37,1,3,33,8,160,-152,2.7027027027027026,6.0,0.16216216216216217
Lithuania,Lithuania,94,29,24,41,108,138,-30,30.851063829787233,111.0,1.1808510638297873
Luxembourg,Luxembourg,51,3,5,43,20,123,-103,5.88235294117647,14.0,0.27450980392156865
Macau,Macau,18,3,2,13,15,90,-75,16.666666666666664,11.0,0.6111111111111112
Madagascar,Madagascar,17,6,5,6,20,18,2,35.294117647058826,23.0,1.3529411764705883
Madrid,Madrid,0,0,0,0,0,0,0,,0.0,
Malawi,Malawi,90,26,30,34,85,108,-23,28.888888888888886,108.0,1.2
Malaysia,Malaysia,48,15,12,21,64,64,0,31.25,57.0,1.1875
Maldives,Maldives,21,3,4,14,18,104,-86,14.285714285714285,13.0,0.6190476190476191
Mali,Mali,122,41,31,50,128,138,-10,33.60655737704918,154.0,1.2622950819672132
Malta,Malta,93,11,14,68,56,208,-152,11.827956989247312,47.0,0.5053763440860215
Manchukuo,Manchukuo,0,0,0,0,0,0,0,,0.0,
Martinique,Martinique,57,29,13,15,106,75,31,50.877192982456144,100.0,1.7543859649122806
Matabeleland,Matabeleland,0,0,0,0,0,0,0,,0.0,
Mauritania,Mauritania,39,6,15,18,24,52,-28,15.384615384615385,33.0,0.8461538461538461
Mauritius,Mauritius,39,8,9,22,31,69,-38,20.51282051282051,33.0,0.8461538461538461
Mayotte,Mayotte,0,0,0,0,0,0,0,,0.0,
Menorca,Menorca,0,0,0,0,0,0,0,,0.0,
Mexico,Mexico,179,78,56,45,301,195,106,43.575418994413404,290.0,1.6201117318435754
Micronesia,Micronesia,3,1,0,2,8,7,1,33.33333333333333,3.0,1.0
Moldova,Moldova,47,9,10,28,45,96,-51,19.148936170212767,37.0,0.7872340425531915
Monaco,Monaco,0,0,0,0,0,0,0,,0.0,
Mongolia,Mongolia,0,0,0,0,0,0,0,,0.0,
Montenegro,Montenegro,0,0,0,0,0,0,0,,0.0,
Montserrat,Montserrat,10,2,1,7,7,44,-37,20.0,7.0,0.7
Morocco,Morocco,97,51,25,21,157,73,84,52.57731958762887,178.0,1.8350515463917525
Mozambique,Mozambique,87,29,19,39,104,116,-12,33.33333333333333,106.0,1.2183908045977012
Myanmar,Myanmar,0,0,0,0,0,0,0,,0.0,
Namibia,Namibia,60,12,19,29,65,109,-44,20.0,55.0,0.9166666666666666
Nepal,Nepal,22,2,1,19,14,65,-51,9.090909090909092,7.0,0.3181818181818182
Netherlands,Netherlands,103,49,32,22,203,93,110,47.57281553398058,179.0,1.7378640776699028
New Caledonia,New Caledonia,27,9,3,15,64,45,19,33.33333333333333,30.0,1.1111111111111112
New Zealand,New Zealand,57,19,8,30,80,81,-1,33.33333333333333,65.0,1.1403508771929824
Nicaragua,Nicaragua,15,0,0,15,7,52,-45,0.0,0.0,0.0
Niger,Niger,44,12,9,23,46,77,-31,27.27272727272727,45.0,1.0227272727272727
Nigeria,Nigeria,92,43,20,29,134,97,37,46.73913043478261,149.0,1.6195652173913044
Niue,Niue,0,0,0,0,0,0,0,,0.0,
North Korea,North Korea,34,15,8,11,53,48,5,44.11764705882353,53.0,1.5588235294117647
North Macedonia,North Macedonia,48,15,13,20,69,69,0,31.25,58.0,1.2083333333333333
North Vietnam,North Vietnam,0,0,0,0,0,0,0,,0.0,
Northern Cyprus,Northern Cyprus,0,0,0,0,0,0,0,,0.0,
Northern Ireland,Northern Ireland,70,21,18,31,75,96,-21,30.0,81.0,1.1571428571428573
Northern Mariana Islands,Northern Mariana Islands,3,1,0,2,4,9,-5,33.33333333333333,3.0,1.0
Norway,Norway,113,59,33,21,210,88,122,52.21238938053098,210.0,1.8584070796460177
Occitania,Occitania,0,0,0,0,0,0,0,,0.0,
Oman,Oman,85,24,22,39,100,113,-13,28.235294117647058,94.0,1.1058823529411765
Orkney,Orkney,0,0,0,0,0,0,0,,0.0,
Padania,Padania,0,0,0,0,0,0,0,,0.0,
Pakistan,Pakistan,28,3,0,25,9,104,-95,10.714285714285714,9.0,0.32142857142857145
Palau,Palau,1,0,0,1,2,15,-13,0.0,0.0,0.0
Palestine,Palestine,4,0,2,2,3,6,-3,0.0,2.0,0.5
Panama,Panama,40,13,8,19,42,65,-23,32.5,47.0,1.175
Panjab,Panjab,0,0,0,0,0,0,0,,0.0,
Papua New Guinea,Papua New Guinea,25,6,5,14,28,36,-8,24.0,23.0,0.92
Paraguay,Paraguay,91,37,25,29,109,103,6,40.65934065934066,136.0,1.4945054945054945
Parishes of Jersey,Parishes of Jersey,0,0,0,0,0,0,0,,0.0,
Peru,Peru,88,28,22,38,101,116,-15,31.818181818181817,106.0,1.2045454545454546
Philippines,Philippines,17,1,1,15,7,61,-54,5.88235294117647,4.0,0.23529411764705882
Poland,Poland,120,44,38,38,146,156,-10,36.666666666666664,170.0,1.4166666666666667
Portugal,Portugal,79,41,25,13,133,47,86,51.89873417721519,148.0,1.8734177215189873
Provence,Provence,0,0,0,0,0,0,0,,0.0,
Puerto Rico,Puerto Rico,22,6,2,14,22,44,-22,27.27272727272727,20.0,0.9090909090909091
Qatar,Qatar,75,31,17,27,116,92,24,41.333333333333336,110.0,1.4666666666666666
Raetia,Raetia,0,0,0,0,0,0,0,,0.0,
Republic of Ireland,Republic of Ireland,99,41,32,26,137,89,48,41.41414141414141,155.0,1.5656565656565657
Republic of St. Pauli,Republic of St. Pauli,0,0,0,0,0,0,0,,0.0,
Rhodes,Rhodes,4,2,2,0,6,3,3,50.0,8.0,2.0
Romani people,Romani people,0,0,0,0,0,0,0,,0.0,
Romania,Romania,115,61,29,25,215,107,108,53.04347826086957,212.0,1.8434782608695652
Russia,Russia,126,62,34,30,219,124,95,49.2063492063492,220.0,1.746031746031746
Rwanda,Rwanda,22,4,11,7,20,26,-6,18.181818181818183,23.0,1.0454545454545454
Réunion,Réunion,2,2,0,0,5,1,4,100.0,6.0,3.0
Saare County,Saare County,4,0,0,4,4,16,-12,0.0,0.0,0.0
Saarland,Saarland,0,0,0,0,0,0,0,,0.0,
Saint Helena,Saint Helena,0,0,0,0,0,0,0,,0.0,
Saint Kitts and Nevis,Saint Kitts and Nevis,51,21,11,19,106,85,21,41.17647058823529,74.0,1.4509803921568627
Saint Lucia,Saint Lucia,53,21,9,23,73,73,0,39.62264150943396,72.0,1.3584905660377358
Saint Martin,Saint Martin,4,2,0,2,6,4,2,50.0,6.0,1.5
Saint Pierre and Miquelon,Saint Pierre and Miquelon,0,0,0,0,0,0,0,,0.0,
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,29,11,6,12,53,46,7,37.93103448275862,39.0,1.3448275862068966
Samoa,Samoa,9,4,1,4,15,19,-4,44.44444444444444,13.0,1.4444444444444444
San Marino,San Marino,45,0,1,44,6,205,-199,0.0,1.0,0.022222222222222223
Sark,Sark,0,0,0,0,0,0,0,,0.0,
Saudi Arabia,Saudi Arabia,148,77,32,39,248,161,87,52.02702702702703,263.0,1.777027027027027
Scotland,Scotland,91,41,21,29,110,82,28,45.05494505494506,144.0,1.5824175824175823
Senegal,Senegal,108,39,30,39,131,112,19,36.11111111111111,147.0,1.3611111111111112
Serbia,Serbia,52,29,14,9,101,42,59,55.769230769230774,101.0,1.9423076923076923
Seychelles,Seychelles,7,0,2,5,5,13,-8,0.0,2.0,0.2857142857142857
Shetland,Shetland,17,7,1,9,28,38,-10,41.17647058823529,22.0,1.2941176470588236
Sierra Leone,Sierra Leone,57,21,17,19,54,60,-6,36.84210526315789,80.0,1.4035087719298245
Silesia,Silesia,0,0,0,0,0,0,0,,0.0,
Singapore,Singapore,48,19,10,19,63,61,2,39.58333333333333,67.0,1.3958333333333333
Sint Maarten,Sint Maarten,18,8,3,7,27,27,0,44.44444444444444,27.0,1.5
Slovakia,Slovakia,66,30,13,23,90,83,7,45.45454545454545,103.0,1.5606060606060606
Slovenia,Slovenia,59,19,15,25,74,83,-9,32.20338983050847,72.0,1.2203389830508475
Solomon Islands,Solomon Islands,44,20,10,14,107,72,35,45.45454545454545,70.0,1.5909090909090908
Somalia,Somalia,7,1,0,6,3,25,-22,14.285714285714285,3.0,0.42857142857142855
Somaliland,Somaliland,0,0,0,0,0,0,0,,0.0,
South Africa,South Africa,83,33,25,25,97,89,8,39.75903614457831,124.0,1.4939759036144578
South Korea,South Korea,143,64,46,33,232,143,89,44.75524475524475,238.0,1.6643356643356644
South Ossetia,South Ossetia,0,0,0,0,0,0,0,,0.0,
South Sudan,South Sudan,0,0,0,0,0,0,0,,0.0,
Spain,Spain,98,57,26,15,215,79,136,58.16326530612245,197.0,2.010204081632653
Sri Lanka,Sri Lanka,33,7,4,22,26,88,-62,21.21212121212121,25.0,0.7575757575757576
Sudan,Sudan,51,14,16,21,51,72,-21,27.450980392156865,58.0,1.1372549019607843
Suriname,Suriname,39,13,14,12,53,58,-5,33.33333333333333,53.0,1.358974358974359
Sweden,Sweden,119,60,29,30,185,114,71,50.42016806722689,209.0,1.7563025210084033
Switzerland,Switzerland,94,42,22,30,144,100,44,44.680851063829785,148.0,1.574468085106383
Syria,Syria,48,15,13,20,78,65,13,31.25,58.0,1.2083333333333333
Székely Land,Székely Land,0,0,0,0,0,0,0,,0.0,
Sápmi,Sápmi,0,0,0,0,0,0,0,,0.0,
São Tomé and Príncipe,São Tomé and Príncipe,7,1,0,6,2,16,-14,14.285714285714285,3.0,0.42857142857142855
Tahiti,Tahiti,42,25,5,12,130,61,69,59.523809523809526,80.0,1.9047619047619047
Tajikistan,Tajikistan,22,8,5,9,34,35,-1,36.36363636363637,29.0,1.3181818181818181
Tamil Eelam,Tamil Eelam,0,0,0,0,0,0,0,,0.0,
Tanzania,Tanzania,88,19,28,41,88,120,-32,21.59090909090909,85.0,0.9659090909090909
Thailand,Thailand,72,30,20,22,134,104,30,41.66666666666667,110.0,1.5277777777777777
Tibet,Tibet,0,0,0,0,0,0,0,,0.0,
Timor-Leste,Timor-Leste,0,0,0,0,0,0,0,,0.0,
Togo,Togo,83,21,22,40,81,109,-28,25.301204819277107,85.0,1.0240963855421688
Tonga,Tonga,11,4,2,5,12,26,-14,36.36363636363637,14.0,1.2727272727272727
Trinidad and Tobago,Trinidad and Tobago,96,46,14,36,193,124,69,47.91666666666667,152.0,1.5833333333333333
Tunisia,Tunisia,114,54,33,27,169,99,70,47.368421052631575,195.0,1.7105263157894737
Turkey,Turkey,86,31,23,32,111,119,-8,36.04651162790697,116.0,1.3488372093023255
Turkmenistan,Turkmenistan,33,10,7,16,49,52,-3,30.303030303030305,37.0,1.121212121212121
Turks and Caicos Islands,Turks and Caicos Islands,2,0,1,1,2,5,-3,0.0,1.0,0.5
Tuvalu,Tuvalu,0,0,0,0,0,0,0,,0.0,
U.S. Virgin Islands,U.S. Virgin Islands,3,1,2,0,3,2,1,33.33333333333333,5.0,1.6666666666666667
Uganda,Uganda,75,25,27,23,93,86,7,33.33333333333333,102.0,1.36
Ukraine,Ukraine,57,22,17,18,70,62,8,38.59649122807017,83.0,1.456140350877193
United Arab Emirates,United Arab Emirates,126,53,35,38,161,144,17,42.06349206349206,194.0,1.5396825396825398
United Koreans in Japan,United Koreans in Japan,0,0,0,0,0,0,0,,0.0,
United States,United States,195,72,50,73,247,219,28,36.92307692307693,266.0,1.3641025641025641
Uruguay,Uruguay,103,40,27,36,132,127,5,38.83495145631068,147.0,1.4271844660194175
Uzbekistan,Uzbekistan,51,22,9,20,102,68,34,43.13725490196079,75.0,1.4705882352941178
Vanuatu,Vanuatu,34,8,5,21,41,80,-39,23.52941176470588,29.0,0.8529411764705882
Vatican City,Vatican City,0,0,0,0,0,0,0,,0.0,
Venezuela,Venezuela,67,5,15,47,43,172,-129,7.462686567164178,30.0,0.44776119402985076
Vietnam,Vietnam,34,11,4,19,44,68,-24,32.35294117647059,37.0,1.088235294117647
Vietnam Republic,Vietnam Republic,0,0,0,0,0,0,0,,0.0,
Wales,Wales,66,24,10,32,79,106,-27,36.36363636363637,82.0,1.2424242424242424
Wallis Islands and Futuna,Wallis Islands and Futuna,9,1,0,8,7,56,-49,11.11111111111111,3.0,0.3333333333333333
Western Armenia,Western Armenia,0,0,0,0,0,0,0,,0.0,
Western Isles,Western Isles,0,0,0,0,0,0,0,,0.0,
Western Sahara,Western Sahara,0,0,0,0,0,0,0,,0.0,
Yemen,Yemen,22,9,4,9,28,30,-2,40.909090909090914,31.0,1.4090909090909092
Yemen DPR,Yemen DPR,0,0,0,0,0,0,0,,0.0,
Ynys Môn,Ynys Môn,20,10,5,5,36,19,17,50.0,35.0,1.75
Yorkshire,Yorkshire,0,0,0,0,0,0,0,,0.0,
Yugoslavia,Yugoslavia,24,10,5,9,38,27,11,41.66666666666667,35.0,1.4583333333333333
Zambia,Zambia,143,73,36,34,213,128,85,51.048951048951054,255.0,1.7832167832167831
Zanzibar,Zanzibar,21,5,4,12,16,35,-19,23.809523809523807,19.0,0.9047619047619048
Zimbabwe,Zimbabwe,97,40,26,31,143,112,31,41.23711340206185,146.0,1.5051546391752577
Åland Islands,Åland Islands,16,8,1,7,25,24,1,50.0,25.0,1.5625
Asturias,Asturias,0,0,0,0,0,0,0,,0.0,
Congo DR,Congo DR,0,0,0,0,0,0,0,,0.0,
Surrey,Surrey,0,0,0,0,0,0,0,,0.0,
Two Sicilies,Two Sicilies,0,0,0,0,0,0,0,,0.0,
Western Australia,Western Australia,0,0,0,0,0,0,0,,0.0,
